SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,DAYS_DECISION,CODE_REJECT_REASON,CNT_PAYMENT
2030495,271877,Consumer loans,1730.43,17145,17145,-73,XAP,12
2802425,108129,Cash loans,25188.615,607500,679671,-164,XAP,36
2523466,122040,Cash loans,15060.735,112500,136444.5,-301,XAP,12
2819243,176158,Cash loans,47041.335,450000,470790,-512,XAP,12
1784265,202054,Cash loans,31924.395,337500,404055,-781,HC,24
1383531,199383,Cash loans,23703.93,315000,340573.5,-684,XAP,18
2315218,175704,Cash loans,,0,0,-14,XAP,
1656711,296299,Cash loans,,0,0,-21,XAP,
2367563,342292,Cash loans,,0,0,-386,XAP,
2579447,334349,Cash loans,,0,0,-57,XAP,
1715995,447712,Cash loans,11368.62,270000,335754,-735,XAP,54
2257824,161140,Cash loans,13832.775,211500,246397.5,-815,XAP,30
2330894,258628,Cash loans,12165.21,148500,174361.5,-860,XAP,24
1397919,321676,Consumer loans,7654.86,53779.5,57564,-408,XAP,8
2273188,270658,Consumer loans,9644.22,26550,27252,-726,XAP,3
1232483,151612,Consumer loans,21307.455,126490.5,119853,-699,XAP,6
2163253,154602,Consumer loans,4187.34,26955,27297,-1473,XAP,8
1285768,142748,Revolving loans,9000,180000,180000,-336,XAP,0
2393109,396305,Cash loans,10181.7,180000,180000,-700,XAP,24
1173070,199178,Cash loans,4666.5,45000,49455,-584,HC,18
1506815,166490,Cash loans,25454.025,450000,491580,-401,HC,24
1182516,267782,Cash loans,20361.6,405000,451777.5,-686,XAP,30
1172842,302212,Cash loans,,0,0,-239,HC,
1172937,302212,Cash loans,39475.305,1129500,1277104.5,-594,HC,54
1555330,199353,Cash loans,,0,0,-202,XAP,
1543131,275707,Cash loans,22619.52,229500,241920,-370,XAP,12
2536650,338725,Cash loans,16708.32,369000,369000,-1487,XAP,48
1676258,433469,Cash loans,22242.825,247500,268083,-1883,XAP,18
2075578,418383,Consumer loans,7656.705,74610,65610,-2702,XAP,12
1583704,315664,Cash loans,,0,0,-430,HC,
2138466,170289,Consumer loans,3286.485,32562,32562,-307,XAP,12
2191093,182450,Consumer loans,9789.255,100485,100485,-391,XAP,12
1471931,257846,Cash loans,,0,0,-302,XAP,
1478703,393511,Cash loans,,0,0,-152,XAP,
1629736,255331,Revolving loans,10125,202500,202500,-284,XAP,0
2027074,208000,Consumer loans,12065.535,56655,66411,-676,XAP,6
2766278,178375,Consumer loans,7511.085,32490,38380.5,-801,LIMIT,6
1151694,161591,Consumer loans,39111.075,214380,209497.5,-989,XAP,6
1692577,125157,Consumer loans,9946.485,99319.5,109809,-392,XAP,12
2740958,281589,Consumer loans,6752.25,35955,33115.5,-983,XAP,6
2317570,258076,Consumer loans,4539.285,18360,21834,-795,XAP,6
1366380,247572,Consumer loans,,17950.5,17950.5,-1141,CLIENT,
2319873,188414,Consumer loans,3560.715,71356.5,76410,-2594,XAP,24
2057616,304455,Consumer loans,15542.73,129505.5,131112,-406,XAP,10
2675386,118974,Consumer loans,6899.49,55831.5,60745.5,-302,XAP,10
2621158,281470,Revolving loans,14625,292500,292500,-231,HC,0
2586290,447421,Consumer loans,10274.04,126544.5,101232,-243,XAP,12
1475738,235737,Cash loans,75897.63,2025000,2241513,-524,XAP,54
2600277,256517,Cash loans,,0,0,-218,XAP,
1371540,200721,Revolving loans,11250,225000,225000,-847,XAP,0
2261993,299391,Revolving loans,,0,0,-161,XAP,
2664403,163660,Cash loans,9804.285,67500,82611,-766,XAP,12
1912041,253391,Cash loans,5294.43,45000,47970,-774,HC,12
2609003,371440,Consumer loans,11688.255,93415.5,101637,-598,XAP,10
1399859,197343,Consumer loans,4818.78,106398,106398,-409,LIMIT,24
2741581,383645,Cash loans,47407.5,450000,450000,-557,XAP,12
2563201,290976,Cash loans,49299.435,450000,504711,-1042,XAP,12
2586409,446260,Cash loans,,0,0,-209,XAP,
1760006,283527,Cash loans,14730.66,72000,72000,-183,XAP,6
2076528,431383,Consumer loans,3725.505,26370,29983.5,-1773,XAP,12
2511538,435636,Cash loans,,0,0,-152,XAP,
1024150,374768,Cash loans,,0,0,-19,XAP,
2326929,221146,Revolving loans,,0,0,-295,XAP,
1074341,137179,Cash loans,,0,0,-237,XAP,
